,CSF,GM,PET,SNP,Align,Alignf
Linear,0.796577243293247,0.7877890841813135,0.8612395929694727,0.46299722479185934,0.8094357076780758,0.8740980573543016
Poly,0.796577243293247,0.7877890841813135,0.8612395929694727,0.46299722479185934,0.8095282146160961,0.8740980573543016
RBF,0.5150786308973173,0.7963922294172063,0.8396854764107309,0.5237742830712304,0.8527289546716004,0.8440333024976873
